Cleantext,Target
the mean peak plasma ohpgluc plasma concentrations achieved were  times larger in the first second and third trimesters and postpartum than the mean peak ohp plasma concentrations but were generally similar to the p concentrations table ,1
rane departments of obstetrics and gynaecologyvistershospital vistersand academic hospital uppsala and department of clinical pharmacology karolinska institute huddinge hospital huddinge sweden summary,0
at this stage the fetus is surrounded by two uid cavities the amniotic cavity which occupies the space between the fetal skin and the amniotic membrane and the exocoelomic or chorionic cavity which lies between the amniotic membrane and the fetal plate of the placenta,0
l  fluoxetine andfluoxetine and carbamazepine concentrations in a nursing mothercarbamazepine concentrations in a nursing mother infant pairinfant pair,0
yapp m,0
given the inconsistent nature of pregnancyrelated changes in the pharmacokinetics of sulfadoxine and pyrimethamine no sp dose modification for iptp can be recommended from this study,1
however the ch was also quite variable ranging from  to  gml,1
discussion the results of this study indicate that the disposition of propranolol is not significantly altered by pregnancy as there were no apparent differences in halflife area under the curve clearance and apparent volume of distribution between antenatal and postnatal studies,1
journal compilation   blackwell publishing ltd journal of clinical pharmacy and therapeutics    j,0
for venous umbilical cord blood an average reported haematocrit value of  was used for all calculations ,0
the same study procedure was then repeated twice  weeks before the expected delivery and after termination of breastfeeding,1
this was associated with the largest area under the curve  hours the smallest volume oj distribution and lowest clearance,1
peak milk levels were obtained  to  hours postdose and ranged from  pgml to  pgiml mean i ,0
methods the medication and pregnancy registry was used,0
discussion previous studies of the pharmacokinetics during pregnancy of several protease inhibitors have demonstrated lower plasma concentrations with standard dosing during pregnancy than in nonpregnant adults,1
interestingly a substantial increase in the cft elimination halflife was observed in the case of group b compared to the corresponding values of group a p  ,1
in contrast the parameters in the unsteady model do not appear as ratios and the km and vmax values obtained from this model appeared realistic,0
pharmacokinetic analysis the program used for the pharmacokinetic analysis was run on a macintoch se mofdhd and validated in our laboratory,0
case reports two women on combined ltg and oxc therapy were followed prospectively during pregnancy and puerperium,0
the plates were incubated overnight at  c and the diameter of each zone of inhibition was read,0
table ,0
population pharmacokinetic analysis,0
the pharmacokinetic parameters of the unchanged labetalol and labetalol glucuronide isomers differed significantly between the nondiabetics and diabetics groups with higher auc values p in diabetic women than in nondiabetic women for the ss  vs  ng hml and sr isomers  vs  ng hml table ,1
one subject taking concomitant atazanavirritonavir had trough concentrations above the target in the third trimester and postpartum,1
metoprolol metabolism via cytochrome pd in ethnic populations,0
patients were encouraged to continue azt therapy,0
the time to peak plasma concentration for sulfadoxine and pyrimethamine occurs from  to  h after administration ,0
this study followed ich gcp good clinical practice glp good laboratory practice and local regulations,0
when possible after the commencement of p therapy each patient in the p group was hospitalized for  h on one occasion during each trimester of pregnancy,0
this is consistent with previous work demonstrating a positive correlation between erythrocyteassociated fraction of tacrolimus and hematocrit r   or red blood cell count r   an inverse correlation between the dose mgkg per daycmin ratio and hematocrit r   over the first  weeks postkidney transplantation and likewise between dosecwb and hematocrit in living donor liver transplantation r   p   in our study we found that tacrolimus clf was inversely correlated to red blood cell count r    p  ,0
g,0
however spontaneous abortion rates were nearly double in both antidepressant groups  and  compared with controls  p   although statistically nonsignificant see table i,1
none of the patients had taken any antibiotic for at least one month prior to the study and at the time of the investigation none were taking any other medication except for iron supplements,0
although there were no specic trends in the pharmacokinetic parameters as a function of gestational age the one subject who was studied in the th week of pregnancy did have the lowest cmin value and an aucss value that was   lower than the average aucss from the other subjects gestational ages  weeks,1
the observed maximum plasma concentration of unchanged drug  ngml was reached at table i mean n   plasma and milk concentrations ngml and pharmacokinetic pharameters of unchanged and total dilevalol after administration of a single capsule containing  mg dilevalol hydrochloride to lactating women table ii mean n   milk concentrations ngml and pharmacokinetic parameters of unchanged and total dilevalol after administration of a single capsule containing  mg dilevalot hci to lactating women milk time hr unchanged dilevalol  cv total dilevalol  cv                                           cmax     tmax     auc  hr     milkplasma cma ratio     milkplasma auc ratio     plasma time hr unchanged dilevalol  cv total dilevalol  cv                                                     cmax     tmax   auc  hr     auc cc   t   t    cv   coefficient variation c ngml maximum concentration t hr time to peak concentration auc  hr ng x hrml  area under the curve through  hours auc  ng x hrml  area under the curve to infinity t hr  distribution halflife t hr  elimination halflife  hour tmax after drug administration,1
renal elimination of ceftazidime during pregnancy jgrgen nathorstbiiiis md phd agneta philipson md phdb ann hedman phd and annie awisson phd stockholm and huddinge sweden objective our purpose was to study the pharmacokinetics of ceftazidime at different stages of pregnancy and in the nonpregnant state to determine whether glomerular filtration rate is altered and whether tubular secretions occurs,1
r,0
no dumping effect isolated rapid plasma concentration in the first hour was observed in any case using any ofthe five doses,0
methods thirty hypertensive women during the last trimester of pregnancy were divided into four groups nondiabetic and diabetic women treated with intravenous or oral labetalol,0
no correlations were found between the mean arterial blood pressure posttherapy or the fall in blood pressure as a result of the p therapy p    and p dose peak p plasma concentrations peak hydroxypropranolol ohp plasma concentrations or peak p plus ohp plasma concentrations,0
in contrast to sdox the pk parameters for pyr in both our patient groups differed markedly from those found in a wide variety of clinical and ethnogeographic settings              ,0
the fetus swallows  mlday of amniotic uid by term,0
when the patient was admitted to the surgical unit the investigator opened the treatment envelope and informed the patient which treatment she would be receiving,0
hoegstedt et al  found an increased clearance of metoprolol in pregnancy for which an increased hepatic metabolism seemed to be the explanation because pregnancy has minor influence on hepatic blood flow,1
zipfel i j,0
na not available,0
mhthis project was supported by grant no,0
total and unbound tacrolimus as well as metabolite concentrations in blood and plasma were assayed by a validated lcmsms method,0
however the antenatal clearance was from  to  greater than the postnatal figure depending on whether a weight adjustment factor is included,1
received july  ,0
fluoxetine is apparently not teratogenic or fetotoxic in laboratory animals robert  although there has recently been a report of a higher incidence of minor anomalies and premature delivery among neonates whose mothers took fuoxetine during pregnancy chambers et ai ,1
clinical features of the subjects philipsson ,0
pharmacokinetic blood sampling a  or  h pharmacokinetic curve was obtained after at least  weeks of darunavir treatment during the third trimester preferably at week  and at least  weeks postpartum preferably  weeks postpartum,1
conclusions our limited data suggest free passage of tpm over the placenta and an extensive transfer into breast milk,1
the tablets were dampened by  drops of water immediately prior to insertion in the group using vaginal misoprostol with water,1
aust prescriber   compared with a range of  that can be calculated pp  from the data of winn et al   begg ej atkinson hc,0
however there was no statistically signicant dierence in the weight gain of those women who remained on citalopram throughout pregnancy versus the healthy control group,0
table  gives the mean concentrations of uoxetine and noruoxetine isomers in maternal venous serum in the third trimester in maternal and umbilical venous serum at delivery and in the infants at the time of phenylketonuria testing,1
a robust lopinavir pharmacokinetic model was developed and body weight was found to inuence lopinavir oral clf and vf,0
if on the other hand the  confidence limits are entirely within the limits   the parameters are mirochnick et al,0
when adjusted for body weight the value for pregv f bwd nant women was  lkg,1
august  properties are known to be affected by contact with vacutainer stoppers were used in this study,0
introduction the emphasis on teratogenesis which followed the thalidomide tragedy has tended to overshadow the legitimate use during pregnancy of drugs in the management of conditions such as asthma epilepsy and hypertension,0
the utilization of hydralazine hydrochloride as an antihypertensive agent to treat hypertensive complications of pregnancy has been widespread in the united states,0
passage of cephalosporins and amoxicillin into the breast milk,0
these  women either were first seen too late in pregnancy or were lost to supervision for too long a period during pregnancy,0
clearance of odv by the infants did not appear to be an issue although our data in this area are limited,1
instead preterm haematocrit values    range   for the same individual    days before delivery were used for six subjects,0
in  ,0
the impact of a missed dose of lopinavirritonavir on subsequent lopinavir concentrations following standard and increased doses during late pregnancy was also assessed,0
each pregnant woman was prescribed oral treatment with ampicillin for  days  g four times daily,1
in particular only singledose studies have been reported,0
a comparison of intravaginal misoprostol with prostaglandin e for termination of secondsemester pregnancy,0
glucuronic acid conjugation of both naphthol and phenolphthalein is also decreased in streptozotocininduced diabetic rats probably due to the decreased intracellular concentrations of the cofactor udpglucuronic acid  ,0
individual pharmacokinetic parameters of tobramycin in each group of subjects group  group ,0
antifactor xa concentrations were oh fetal loss,0
hospital,0
the drug is primary eliminated unchanged by the kidneys,0
by  minutes after administration the concentration reached an average of  pgml in the vaginal group constituting  of the maximum level,1
lopinavir cpredose values were also low the geometric mean was  mgml,1
the method was linear to  ngml r   with a limit of quantication of  gliter azi,0
the clinical indication for citalopram was depression n   or panic disorder n  ,0
in addition an increase in plasma volume occurs during pregnancy which is maximal at  weeks this can effectively dilute the effects of heparin,1
the mothers in group b had uncomplicated pregnancies and they were admitted for caesarean section because of fetopelvic disproportion n   or for vaginal delivery n  ,0
post  st  rd ,0
address correspondence to floris fauchet orisfauchetgmailcom,0
the area under the curve for the first  hours auczhwas calculatcd using the trapezoidal rule and the apparent elimination halflife t was obtained from loglinear rcgrcssion carried out on the terminal data points  minutes onwards,0
six mm of the organic layer was added to  ml of m hydrochloric acid the samples mixed and centrifuged as before,0
prirnidonephenobarbitone ratio during pregnancy hormones may affect drug metabolism in different ways progesterone is known to have an enzymeinducing effect krauer and krauer  but oestrogens are able to inhibit liver microsomal enzyme function tephly and mannering ,1
reprint requests tuija heikkinen md department of pharmacology and clinical pharmacology university of turku itainen pitkakatu  fin turku finland,0
for pht the dosagec ratio had returned to its prepregnancy value within the first  postpartum weeks in some two thirds of the pregnancies for which data were avaiiable,0
indeed when we limited our analysis to a subset of patients treated with the same dosage regimen  mg twice daily metformin apparent oral clearance and apparent oral volume of distribution increased whereas the drugs maximal concentration and auc decreased during pregnancy table ,1
in fact two of the women had higher tpm plasma concentrations at delivery than  weeks postpartum a finding most probably explained by a systematic difference in the sampling time,1
descriptive statistics including means standard deviations and frequencies were tabulated,0
because inulin is known to be excreted exclusively by glomerular filtration this strongly indicated that ceftazidime is excreted in the same way and that increased golmerular filtration is the reason for lowered plasma levels of ceftazidime during pregnancy,1
because mean residence time which is a measure of the average time a drug resides in the body is determined both by clearance and volume of distribution and because both clearance and volume of distribution changed in our study patients we observed essentially no change in mean residence time,1
best pharmd mas alice m,0
none  dun     rah,0
since some of the hormones were rapidly depleted when incubated with heparg cells or schh we adjusted the incubation concentrations of the hormones and frequency of change of media to account for this depletion,0
extensive presystemic metabolism and pgp efux limits the oral bioavailability of tacrolimus in nonpregnant women and men to approximately     ,1
s and pociask c radioimmunoassay of oxytocin j,0
antepartum and postpartum oral pharmacokinetics,0
in a study of  patients petz found that  had a history of allergy to penicillin and  of these had an allergic reaction to administration of cephalosporin of the patients who did not have a penicillin allergy  had an allergic reaction to cephalosporin,0
in the other two groups labetalol did not lower pressure sufficiently to allow modelling to be performed  we conclude that pregnancy does not alter the clearance or volume of distribution of labetalol,1
statistical analysis,0
nevertheless the results of both studies are in line with our results,0
we also computed the area under the total concentrationtime curve from  to  h auc and the duration of free cefazolin concentration in plasma  mic in neonates,0
accepted for publication feb  ,0
however with the exception of what was in effect a phenytoin bioavailability investigation in a single patient the actual quantitative contributions that these factors may make to the increased dose requirement remain undefined,0
frequency of doses necessary for achieving the desired blood pressure as well as urinary output maternal side effects side effects on fetal heart rate neonatal apgar score and repeated doses during first  hours post partum were also determined in the study,0
since the uterine response does not depend only on the level of oxytocin in the blood but also on the sensitivity of the myometrium to oxytocin neither buccal nor intravenous administration precludes ox stimulation of the uterus,0
during the initial telephone contact demographics medical and obstetrical histories and details of exposure and concurrent exposureswererecordedusingastandardizedquestionnaire,0
j who also had the highest elevation of blood pressure throughout the infusion period,0
furthermore many physiological changes occur immediately after birth in the neonate,0
eadie number   of pregnancies    n phenytoin  methylphenobarbital  l     carbamazepine  rhr         phenobarbital n l o l l          mgday fig ,0
drug metabolism can be impacted by genetic and environmental factors,0
the blood samples were centrifuged after clotting and serum was separated and stored at    until analyzed,0
pdxpop  icon development solutions ellicott city md and xpose version  uppsala university uppsala sweden  were used in processing nonmem  output,0
in  mothers who received i g of cephalothin blood levels at i   and  hours averaged  pgml  pgml and  pgml re    f  nd  f  nd   nd nd spectively,1
our results agree with previously reports in which healthy volunteers or hypertensive patients pregnant or nonpregnant receiving oral labetalol were investigated and a lower plasma concentration of the rrlabetalol isomer compared to the other three isomers was found   ,0
auc   where t  dosing interval   hr tassuming  ml milk secreted in  hr assuming  doses in this period  ngml at  hr while the milk levels fell between  and  hr then rose slightly and remained constant to  hr after which they fell steadily to nondetectable levels by  hr,1
factors accounting for this interest are the documented good tolerance towards beta blockers in the treatment of hypertension in pregnancy and the negligiblepharrnacological effects of the beta iselective ones on the uterus,0
hence any decrease in serum proteinbinding during pregnancy reynolds  knott  should not influence the pharmacokinetics of mecillinam,1
