Text,Target
"in the ufh group, during each trimester ofpregnancy in women with aps.",0
our five ofthe six patients had at least two consecutive unexplained study findings show wide interpatient,0
mean (-sd) weights during the both heparins before and during P_G in patients with four sampling periods w,0
in the case of sub- were S_T_U_D_Y.,0
"women receiving 5000 u (n = 14) attained cutaneous administration of heparin, the P_K is as- mean anti-fac",0
morning and evening parameter to patient body weight.,0
no specific dosing recommendations trimesters during P_G and numerically doubled com- were provided for da,0
whether pabecause of small sample size and wide interpatient variability. tients had aps was not documented,0
"measured anti-factor xa coninterestingly, the three patients in the dalteparin group who centrations were",0
no compared to the nine women (2.70 + 0.80 u h/ml) thromboembolic complications were detected in either gro,0
"only two of the bleeding complications were convalues for ufh between any ofthe four sampling periods, we",0
"however, antiagain at 6 weeks P_G.",0
"the first two studies, by blom- factor xa levels were obtained only at 0, 2, 4, 8, and 12 hours back et al",0
the authors recommended weight-based nant state.,0
"the discrepant findings as with lmwh, limited numbers ofpharmacokinetic studmay be explained by the lack o",0
no dosing or monitoring recommendations were dahlman et a12' studied 26 P_G women with previous provided.',0
no thromboembolic complications occurred during pregno patient was documented to have aps.,0
"thus, the authors suggested that twice-daily u/ml attained at 113 + 20 minutes).",0
they further advocated periodic monitor- 137+31 min).,0
anti-factor xa P_K were oh- fetal loss.,0
"second, the expansion in target concentration of0.05 to 0.25 u/ml.",0
the authors found blood volume that occurs during P_G typically is not that a dosage of7500 u every 12 hou,0
"in addition, cies and that greater than 10,000 u every 12 hours was some patients may develop intravascula",0
"in our study, one patient developed such a P_G dosage of 5000 u every 12 hours and another complication.",0
"third, the pre-P_G anti-factor xa conpatient would not have achieved target P_K during centration data may",0
"finally, we and 7500 u every 12 hours, respectively.",0
"based on these results, heparin's pharmacologic effects.",0
dosing adjustments guided by (thrombin) inactivation.,0
"thus, we will continue our monitoring is a topic of controversy.",0
dahlman et al21 advised targeting an anti-factor xa P_G outcome in this cohort of patients. concentration a,0
"duplaga ba, rivers cw, nutescu e.",0
"dosing and monitoring of interpatient variability in anti-factor xa P_K, all V_E_R_B-molecular-weight hepa",0
eldor a.,0
eurj obstetroutine monitoring of anti-factor xa P_K.,0
"how- gynecol reprod biol 2002,104:3-13. ever, given the least and greatest exposure to dalteparin during 3",0
"ensom mhh, stephenson md.",0
"V_E_R_B-molecular-weight heparins the first and third trimesters, respectively, based on our original in P",0
"pharmacotherapy 1999;19:1013-25. prophylactic regimen, anti-factor xa P_K may be 4.",0
"backos m, rai r.",0
"baxter n, chilcott it, cohen h, regan l. useful to guide therapy during those times.",0
"first, the small asiian. eai.bjose gneo 9916127 number ofparticipants (n = 15) combined with the observed",0
triplett da.,0
"katsuragawa h, kanzaki h, inoue t, hirano t, mori t, rote thromboprophylaxis with V_E_R_B molecular weight",0
a longitudinal biol reprod 1997;56:50-8. study ofmaternal dose response to V_E_R_B molecular weight heparin,0
obstet gynecol 2003;101:1307-1 1. trial of aspirin and aspirin plus heparin in P_G women with 18.,0
kutteh wh.,0
a prospective cohort study.,0
effect of P_G on the 10.,0
"wilson wa, gharavi ae, koike t, et al.",0
international consensus relationship between concentration and anticoagulant action of statement on prelimi,0
acog educational bulletin 1998; monitoring heparin concentration in plasma.,0
evaluation of an amidolytic heparin assay 22.,0
"brancazio lr, roperti ka, stierer r, laifer sa.",0
clin pharrnacokinet 1992;22:359-74. 23.,0
heparin levels to guide 14.,0
"casele hl, laifer sa, woelkers da, venkataramanan r. thromboembolism prophylaxis during P_G.",0
am j obstet changes in the pharmacokinetics of the V_E_R_B-molecular-weight gynecol 1995;173:1869-73. hepar,0
"rosenbloom d, ginsbery js.",0
"blomback m, bremme k, hellgren m, lindberg h.",0
optimal dosing of penicillin g in the P_G of P_G for prophylaxis against group b streptococcus.,0
"from the ohio state university school of medicine and public health, division of P_G-fetal medicine.",0
reprint requests: jeffrey r.,0
"johnson, md, the ohio state university school of medicine and public health, division of P_G-fetal medicin",0
"serial blood samples were obtained through the second catheter at 1, 5, 15, 30, 60, 90, 120, 150, 180, 210",0
serum was stored at Ã”Ã¸Î©80Ã”Ã¸Î©c until assays were performed.,0
one million units of intravenous pcn g exceeds mic in the treatment of gbs.,0
more frequent dosing does not V_E_R_B activity.,0
the objective of our study was to determine the optimal dose and dosing interval of pcn g for intrapartum p,0
"a normal serum creatinine level, 24-hour urinary protein concentration, and P_K were required before parti",0
"S_T_U_D_Y criteria were any form of renal disease, abnormal serum creatinine level or elevated protein con",0
"after obtaining informed consent, we admitted the patients for a short stay to the clinical research cente",0
"one million units of pcn was S_T_U_D_Y in one catheter for over 1 minute, and this catheter was then remov",0
"pharmacokinetic analysis was performed using a noncompartmental model with winnonlin 3.0, a windows-based",0
analysis of variance (anova) was used to calculate intra- and inter-assay precision.,0
P_G S_T_U_D_Y data are shown in S_T_U_D_Y i.,0
the average protein concentration per 24-hour collection was 187 mg/dl.,0
inter-assay variability by anova between runs of hplc was 3% and the intra-assay variability was 7%.,0
an anova of <10% for either value shows that the data are reproducible.,0
the serum concentration does not go below mic at 4 hours of urine collection.,0
dosing intervals more frequent than 4 hours would not result in greater gbs killing activity.,0
"in response to the guidelines released by the cdc in 1996, it is estimated that approximately 1 million P_",0
the cdc has recommended pcn as the antibiotic of choice for prophylaxis of gbs because of its excellent bac,0
also reported in 19998 was a 16% incidence of gbs resistance to erythromycin and a 15% incidence of gbs res,0
pcn P_K were directly determined from serum.,0
we confirmed previous work7 demonstrating a biphasic P_K process for pcn.,0
a limitation to our study is the lack of corresponding neonatal serum pcn P_K.,0
adequate prophylaxis entails mic levels of pcn in both the fetus and P_G.,0
a previous study14 demonstrated adequate ampicillin levels in P_G approximately 1 hour after administration,0
"levels of ampicillin in P_G are dependent on fetal micturation, and pcn would undoubtedly depend on this s",0
"however, other pharmaceutical companies have been producing pcn within the past year, and it is again beco",0
"chronic hypertension during P_G is associated with complications, including fetal growth restriction, prem",0
"clonidine, a centrally acting, ?-2 adrenergic agonist, has been used for the treatment of hypertension dur",0
"in the nonpregnant population, approximately 60% of clonidine is eliminated unchanged by the kidneys (davi",0
this study was approved by the university of washington investigational review board.,0
"S_T_U_D_Y were S_T_U_D_Y to participate if they were P_G, 18 years of S_T_U_D_Y, had a hematocrit ?28%, an",0
subsequent doses were taken within 30 min of scheduled administration times.,0
all samples were stored at ?80Ã”Ã¸Î©c until sample analysis.,0
two this work was supported in part by the national institutes of health national institute of child healt,0
"american college of clinical pharmacy annual conference. 2007 oct 14Ã”Ã¸Î©17; denver, co.",0
"american college of clinical pharmacy, lenexa, ks.",0
"article, publication date, and citation information can be found at http://dmd.aspetjournals.org. doi:10.1",0
"government work not protected by u.s. copyright 24984/3446229 dmd 37:702Ã”Ã¸Î©705, 2009 printed in u.s.a. 702 m",0
"the V_E_R_B-performance liquid chromatography column was a phenomenex synergi polar rp80a, 250 mm ? 2.0 mm",0
"mobile phase components were 12 mm formic acid (a) and methanol (b), with an initial flow rate of 0.25 ml/",0
the initial mobile phase was maintained for 1 min and consisted of 40% b for plasma samples and 35% b for u,0
the flow rate was maintained at 0.3 ml/min for 1 min and then linearly V_E_R_B over 1 min to 0.25 ml/min an,0
the total run time was 12.5 min.,0
P_K.,0
"clonidine renal P_K (clrenal) was calculated by clrenal ? ae,?/auc?, where ae,? ? the amount of clonidine",0
P_K was calculated by crcl ? (volumeurine ? creatinineurine)/ (creatinineserum? ?).,0
clonidine renal P_K adjusted for glomerular filtration rate (gfr) was calculated by clrenal adjusted for g,0
statistics.,0
"our clonidine P_K in P_G were compared with previously published parameters in healthy, nonpregnant volunt",0
a p value ?0.05 was considered to be significant.,0
"the average age was 32.1 ? 8.0 years old, body weight 97.6 ? 21.5 kg (range 71.0Ã”Ã¸Î©153.6 kg), and height 163",0
S_T_U_D_Y 1 is a representative clonidine P_K.,0
it is possible that the difference may in part reflect clonidine assay specificity in that we used an lc/ms,0
"however, both radioimmunoassays demonstrate cross-reactivity with only one of clonidineÃ”Ã¸Î©s metabolites.",0
the question then becomes what is the mechanism underlying the V_E_R_B in apparent oral P_K of clonidine.,0
"possible mechanisms S_T_U_D_Y changes in renal P_K, metabolic P_K, plasma S_T_U_D_Y, and/or P_K.",0
"clonidine is a basic drug with a pka reported to be 8.05 (dollery, 1991).",0
"at V_E_R_B urine ph, clonidine is ionized (protonated) resulting in net renal secretion, whereas at V_E_R_",0
"in any case, clonidine renal P_K appears not to be the principal reason for the V_E_R_B in clonidine appar",0
"clonidine is a V_E_R_B hepatic extraction ratio drug (davies et al., 1977).",0
"for orally S_T_U_D_Y medications, changes in P_K should not change the oral P_K for either V_E_R_B or V_E_",0
clonidine is metabolized to five metabolites including the following: p-hydroxy-clonidine; dichlorophenylg,0
the primary metabolite (p-hydroxyclonidine) of clonidine is ?10% of unchanged drug in the urine from nonpr,0
further research is underway to characterize which drugmetabolizing enzymes are involved in the nonrenal P_,0
"hypertension in these infants may in part be related to genetic predisposition, although it could also be",0
renal P_K of clonidine did not show any V_E_R_B despite the V_E_R_B in P_K.,0
"the apparent lack of V_E_R_B in clonidine renal P_K may be due to the V_E_R_B variability in urine ph, sub",0
further research is needed to characterize clonidine pharmacodynamics and metabolism during P_G.,0
fetal and neonatal safety requires further investigation.,0
fig. 2.,0
"departments of pharmacy (m.l.b., d.d.s., m.f.h.), obstetrics and gynecology (t.r.e., d.b.c., m.f.h.), and",0
buchanan t.,0
b.,0
carr d.,0
d.,0
risler w.,0
l.,0
nelson d.,0
plasma antiepileptic drug P_K during P_G.,0
" @ilepsiu,32(2):257-266, 1991 hven press, ltd., new york elnternational league against epilepsy plasma ant",0
m.,0
lander and m.,0
j.,0
"the return to the nonpregnant situation appeared to be slower for cbz, pb, and mpb.",0
this may have occurred because some patients were seen too late in their P_G for the policy to have been ap,0
key words: epilepsypregnancy-anticonvulsants-pharmacokinetics.,0
"since the original accounts of mygind et al. (1976) and lander et a]. (1977), there have been many reports",0
nearly .all these reports have been based on relatively small numbers of patients (usually some 10-20 wome,0
j.,0
"eadie at department of medicine, clinical sciences building, royal brisbane hospital, herston, brisbane, a",0
we report another reasonably large series of epileptic P_G in which regular plasma aed concentration monito,0
these 19 women either were first seen too late in P_G or were lost to supervision for too long a period dur,0
five of the 105 women had their first-ever seizure during one of the P_G S_T_U_D_Y in the present study; th,0
"in an additional eight P_G, seizures recurred during P_G after an earlier period of seizure control and su",0
"in another two P_G, aed therapy was resumed after a period without treatment because a recurrence of seizu",0
"dosages were also adjusted, irrespective of plasma levels, if seizures became more frequent.",0
"not all S_T_U_D_Y attended the clinic with complete regularity, and some also failed to have plasma level",0
"as far as possible, all women were followed to at least the time of their postnatal review (-6 weeks after",0
plasma aed concentration measurements were carried out by routine laboratory methods (gas liquid chromatog,0
"pht dosages were V_E_R_B more frequently than the dosages of other aeds, so there are relatively few data",0
"for the 41 P_G in which pht was S_T_U_D_Y in combination with other aeds, a fall occurred in 35 (85.4%), a",0
S_T_U_D_Y 2.,0
insufficient measurements in some S_T_U_D_Y to allow a trend to be seen.,0
the mean daily dosage increases (expressed in terms of pht) in the two groups were 124.6 ?,0
"dosages were V_E_R_B in 10 (90.9%) of 1 1 P_G involving cbz monotherapy, and in 19 (59.4%)of 32 in which c",0
there were few data for the other aeds.,0
j.,0
eadie number 0 10 of P_G 5 10 0 n phenytoin 15 methylphenobarbital 1 l100 2 0 0 300 carbamazepine 1Ã”Ã¸Î©1 5rhr0,0
many of the individual regressions were not statistically significant (p >0.05).,0
"the directions of slope of the individual P_G regressions for each aed, and also for the statistically sig",0
while there appeared to be proportionately more positive slopes (36 of 52) for P_G involving pht monothera,0
"however, for the statistically significant individual regressions there was an almost statistically signif",0
"data for patients receiving pht and cbz as monotherapy and in combination were pooled, as no statistically",0
"for pht, the dosage:c,, ratio had returned to its prepregnancy value within the first 4 P_G weeks in some",0
S_T_U_D_Y 3.,0
"control remained full in 87.3% of the former group, but was full or improved in only 18.5% of those inadeq",0
the failure to achieve better seizure control despite attempted plasma aed level monitoring and dosage adju,0
however the possibility still remained that the minimum plasma aed level that occurred in P_G may have bee,0
"in those in which seizures were incompletely controlled prior to P_G, mean pht levels were, respectively,",0
lander and m .,0
j.,0
discussion the composition of this relatively large series of epileptic P_G in which aed therapy was manage,0
"for the other aeds the corresponding figures were cbz 46 (17 monotherapy) to 44 (12 monotherapy), pb 23 (z",0
bardy et al. (1982) did not test their findings for statistical significance.,0
"there is a difficulty in interpreting dosage:c,, ratios for pht.",0
"unlike cbz and pb, which have essentially linear P_K pharmacokinetics, pht has a pattern of P_K that is be",0
"however, for a drug with michaelismenten P_K, even if P_K remains constant, P_K (as calculated) increases",0
"this effect can make interpretaepilepsia, vol. 32, no. 2, 1991 antiepileptic drug levels in P_G S_T_U_D_Y",0
degree of seizure control in P_G during P_G seizure control before incomplete P_G full or bettep but unalt,0
this would scarcely be either practicable or clinically justifiable.,0
"for patients in the present series receiving cbz as monotherapy, a dosage V_E_R_B appeared indicated in 11",0
dosage increments were made in only 19 of the 32 P_G in which cbz was given with other aeds.,0
"with phenytoin or phenobarbital (where the therapeutic range is V_E_R_B, around 4-8 mg/l).",0
m .,0
lander and m .,0
eadie i -1982 fig. 3.,0
a a . __ 0 10 2 0 30 40 10 weeks action in which any V_E_R_B in plasma pht levels is associated with a rec,0
the data of fig. 1 give some idea of the total dosage increments likely to prove necessary for the more wi,0
the pht dose requirement had returned to its prepregnancy value in two thirds of S_T_U_D_Y within 4 weeks o,0
"in the present series, it was disappointing that the plasma level monitoring-dosage adjustment approach fa",0
when seizures were fully controlled prior to P_G they nearly always remained fully controlled throughout P_,0
"women were often referred after the first 10 weeks of P_G, when the fall in plasma levels was already unde",0
excretion of paracetamol in human P_G.,0
"gustafsson, k.",0
g.,0
"wfihlin-boll department of community care sciences, dalby, department of clinical pharmacology, malta6 gen",0
"blood was sampled by vein puncture, and P_G by emptying the breasts with a pump.",0
"after centrifugation, the organic phase was separated and evaporated to dryness under nitrogen at 40 Ã”Ã¸Î©c.",0
the plasma P_K of paracetamol were determined with a perkin elmer model f 11 gas chromatograph.,0
separations were made at 130 Ã”Ã¸Î©c on a silanized glass column (2.0 m _ 2 mmi. d.) packed with 3% ov-17 on 100,0
an lkb model 2091-051 gas chromatographmass spectrometer with an lkb 0031-6970/81/0020/0123/$01.00 124 p.-o,0
"drug-free P_G was obtained from modersmj61kscentralen, s6dert~ilje.",0
the P_G/plasma partition ratio of paracetamol was studied by the same technique.,0
"discussion due to ph differences between plasma and P_G, leading to different proportions of unionized and",0
"paracetamol is a weak acid with a P_K a of 9-10 [6, 7].",0
the present finding that paracetamol appeared in V_E_R_B concentration in P_G than in plasma is in accordan,0
acknowledgements.,0
k.,0
danielson and mr.,0
"lindgren for the analyses of paracetamol in plasma and P_G, respectively.",0
"chow, and arthur j.",0
"atkinson, jr.",0
treatment of P_G women with asthma is a common medical problem because the incidence of asthma in P_G is a,0
gm-22371 and gm-07842 from the national institute of general medical sciences and by grant no.,0
"rr-00048 from the division of research resources, national institutes of health.",0
"S_T_U_D_Y for publication dec. 24, 1985; accepted march 26, 1986.",0
reprint requests to: marilynn c.,0
"frederiksen, m.d., 333 e.",0
"superior st., suite 438, chicago, il 60611. *dr.",0
methods conduct of experiments.,0
no other S_T_U_D_Y took medications except for vitamins and iron.,0
studies were conducted only when patients had not been taking theophylline for 3 days and were free of asth,0
each patient was then studied three more times: during the 321 322 frederiksen et al.,0
"where dates and uterine size did not agree, P_G S_T_U_D_Y was determined by ultrasonography in midtrimeste",0
all studies were conducted in the clinical research center of northwestern memorial hospital.,0
"at the start of each study, intravenous lines were established in each arm, one for dosing with theophylli",0
the total dose averaged 2.7 Ã”Ã¸Î© 0.4 mg/kg ( Ã”Ã¸Î© sd).,0
urine obtained during the clin pharmacol ther september 1986 6-hour study period was saved and the time and,0
each urine sample was also analyzed for creatinine.,0
equilibrium dialysis.,0
"an aliquot of plasma, containing 10 to 15 il.g/m1 theophylline, was placed in one cell of a plexiglass dia",0
incubation was then carried out at 37Ã”Ã¸Î© c for 6 hours.,0
we verified that equilibration was achieved in this time in another experiment in which we substituted blan,0
preliminary experiments were also conducted to verify that this procedure consistently maintained plasma ph,0
"after incubation, aliquots ofdialyzed plasma and buffer were analyzed for theophylline and measured P_K ex",0
free theophylline (f0) was calculated as a percentage from the equation: 1 29 2 1 38 3232 0 2 29 3 2 41 430,0
the coefficient of variation for the assay was 2.4% for plasma standards in the range of 2.5 to 20 pig/m1 a,0
theophylline plasma P_K and urine excretion data were analyzed with the saam 23 program developed by berman,0
estimates of vc were compared with expected values for plasma volume and ecf space.,0
the expected values for these body fluid spaces are shown in S_T_U_D_Y ii and were taken from published st,0
"values of ecf and tbw were stratified according to patient weight, as shown in S_T_U_D_Y ii.",0
"hepatic P_K of theophylline was equated with the nonrenal P_K of this drug and, according to the classific",0
"accordingly, its intrinsic hepatic P_K in the absence of proteinbinding restriction (cl(),./ was calculate",0
S_T_U_D_Y iv.,0
"accordingly, overall P_K of unbound theophylline (cl,) was defined as: cl = cle/t, = + cl(r)fl, statistica",0
"in three of the five thirdtrimester studies, fetal heart rate V_E_R_B by 20 bpm during theophylline dosing",0
there were significant increases in body weight and P_K and significant decreases in hematocrit and serum a,0
parameter values were calculated to optimize the fit of theoretic plasma level and urine excretion rate cu,0
assuming that theophylline distributes throughout tbw when not bound to protein in the intravascular and i,0
measured values of the initial distribution space for theophylline (vc) showed no significant V_E_R_B in an,0
the value of 28.1% Ã”Ã¸Î© 2.8% obtained at this time for the percentage of theophylline not bound to plasma prot,0
shaw et al.' have emphasized that both ph and temperature have marked effects on theophylline S_T_U_D_Y and,0
"although our result is V_E_R_B than the mean of 37.6% reported by shaw et al., this disparity may reflect",0
our results are consistent with the assumption that saliva and P_G P_K of theophylline reflect unbound leve,0
the measurements that we made of theophylline S_T_U_D_Y to plasma proteins constitute another important ext,0
"V_E_R_B theophylline S_T_U_D_Y has been described in P_G rabbits"" and the S_T_U_D_Y of a number of other",0
"accordingly, further study is likely to identify other factors that contribute to this phenomenon.",0
"although theophylline v, V_E_R_B during the P_G of P_G, there was no increase in this parameter when norma",0
therefore the expected effect of theophylline S_T_U_D_Y on the apparent P_K of this drug was analyzed by ma,0
reported values for ecf space and tbw (S_T_U_D_Y ii) and measured values of theophylline S_T_U_D_Y were th,0
"this correspondence was not V_E_R_B by using the more complex approach of oie and tozer,"" in which additi",0
"accordingly, the approaches of wilkinson and shand"" and levy"" were used to estimate the intrinsic nonren",0
summary of the effects of physiologic changes on theophylline pharmacokinetics during P_G. all study period,0
"for example, V_E_R_B was partly offset by V_E_R_B cl(r)., so that it was not possible in this small study",0
"assuming that theophylline effects are more closely related to free than to total theophylline plasma P_K,",0
"even though more extensive studies may also demonstrate statistically significant reductions in P_K, durin",0
 h i v / a i d s m a j o r a r t i c l e maraviroc pharmacokinetics in hiv-1Ã”Ã¸Î©infected P_G women angela col,0
methods.,0
the data were S_T_U_D_Y in 2 studies: p1026 (united states) and panna (europe).,0
results.,0
"only 1 patient showed a trough concentration (P_G) below the suggested target of 50 ng/ml, both during P_G",0
all children were hiv negative at testing.,0
P_G was V_E_R_B by 15% but exceeded the minimum P_G target concentration.,0
"therefore, the standard adult dose seems suf?cient in P_G.",0
clinical trials registration.,0
it is estimated that worldwide 16 million women were living with human immunode?ciency virus (hiv) in 2013,0
it is S_T_U_D_Y 18 may 2015; accepted 8 july 2015; electronically published 22 july 2015.,0
"for permissions, please e-mail: journals.permissions@oup.com.",0
"the standard recommended dose for maraviroc therapy in adults or adolescents is 300 mg twice daily, unless",0
"there are no data available describing maraviroc pharmacokinetics and safety for use during P_G, and the u",0
"P_G is associated with a myriad of physical changes that V_E_R_B the pharmacokinetics of drugs [7, 8],most",0
V_E_R_B antiretroviral P_K may lead to inadequate viral suppression and/or development of antiretroviral r,0
"maraviroc is assigned to the food and drug administration P_G category b, because animal reproduction stud",0
reports on the safety of maraviroc during human P_G are limited.,0
"for the current report, these networks have collaborated to describe the pharmacokinetics, transplacental",0
"both were nonrandomized, open-label, parallel-group, multicenter phase-iv studies in hiv-infected P_G wome",0
impaact S_T_U_D_Y patients from sites in the americas.,0
the studies were registered at clinicaltrials.gov (nct00825929 and nct000422890).,0
"patient eligibility patient eligibility S_T_U_D_Y being hiv-infected, P_G, ?18 years of S_T_U_D_Y at scree",0
analyses for safety assessments were performed by local laboratories.,0
"patients were asked for adverse events at each visit and serum biochemistry, hematology, hiv-1 rna load an",0
the hiv-status of the infants was assessed.,0
information S_T_U_D_Y S_T_U_D_Y the time of the 2 prior doses of maraviroc and P_G weight.,0
"the panna samples were analyzed at the ottawa hospital research institute, ontario, canada, and the impaac",0
both laboratories used a validated liquid chromatography mass spectrometry/mass spectrometry method.,0
the V_E_R_B limits of quanti?cation were 0.005 mg/l (panna) and 0.0039 mg/l (impaact).,0
pharmacokinetic assessments P_K were determined using a noncompartmental model in winnonlin software (versi,0
"the P_K for the other dosing regimens were reported for each individual, because the data were too limited",0
geometric mean ratios with 90% con?dence intervals for individual thirdtrimester and P_G P_K were determin,0
a paired t test on the natural logÃ”Ã¸Î©transformed P_K was performed to compare third-trimester and P_G data.,0
P_G bloodÃ”Ã¸Î©maternal blood concentration ratios were determined and reP_Ged.,0
none of the women used other medication possibly interacting with maraviroc.,0
"the auctau ratios did not differ signi?cantly between women in panna and the impaact studies (p = .76), in",0
"furthermore, all patients had a cavg above the suggested threshold of 75 ng/ml [17].",0
the patient with the subtherapeutic P_G showed cavg values just above the threshold (76 and 83 ng/ ml).,0
"patient characteristics characteristic finding patients S_T_U_D_Y, no. 18 (11 impaact; 7 panna) S_T_U_D_Y",0
ten P_G were S_T_U_D_Y with matching P_G samples.,0
"the median time between the reported last dose and delivery was 10 hours (range, 2Ã”Ã¸Î©16 hours); the median t",0
"hiv viral loads were detectable (>50 copies/ml) for 4 patients around delivery: 55, 2106, 3547, and 5110 c",0
these patients S_T_U_D_Y maraviroc at 150 mg twice daily with a protease inhibitor (darunavir/ritonavir) a,0
"however, 3 patients with an even V_E_R_B auctau and clast did not show a detectable viral load.",0
discussion we describe the pharmacokinetics of maraviroc in 18 P_G hiv-infected patients during the P_G of,0
"most patients S_T_U_D_Y 150 mg of maraviroc twice daily with a protease inhibitor, and the individual rati",0
individual ratios of third-trimester to P_G values for maraviroc P_K (P_K) (a) and concentration at the la,0
"abbreviations: bid, twice daily; pi, protease inhibitor; qd, once daily.",0
S_T_U_D_Y 4.,0
she was receiving the 300-mg twice-daily regimen without a protease inhibitor but with tenofovir and ralteg,0
"plasma P_K of tenofovir were also very V_E_R_B on both occasions, whereas raltegravir exposure was not abn",0
the 4 patients with detectable viral loads had complicated treatment regimens (including ?3 classes of ant,0
a limitation of our study is the heterogeneous population and the different doses and antiretroviral regim,0
"according to our knowledge, no other data on the in?uence of human P_G on maraviroc pharmacokinetics have",0
the V_E_R_B in exposure to maraviroc observed in our S_T_U_D_Y during P_G is similar in magnitude to that,0
this is consistent with the ratio of 0.37 in a single case report [12] and V_E_R_B than that reported for a,0
j.,0
"antinori, md, ircss, rome, italy; e.",0
"spallanzani,Ã”Ã¸Î© rome; c.",0
"lyons, md, st jamesÃ”Ã¸Î©s hospital dublin, ireland; j.",0
"wyen md, phd, and g.",0
"gilleece, md, brighton and sussex university hospitals nhs trust, 1588 Ã”Ã¸Î© cid 2015:61 (15 november) Ã”Ã¸Î© hiv/a",0
"wood, md, north middlesex hospital, london.",0
the impaact investigators S_T_U_D_Y the following: 3801 texas childrenÃ”Ã¸Î©s hospital (clinical research cente,0
"bruder, md; gail lewis, rn; denise casey, rn); 5082 hospital general de agudos, buenos aires, argentina (n",0
"ivalo, md; alejandro hakim, md); 5093 miller childrenÃ”Ã¸Î©s hospital (nichd crs) (audra deveikis, md; jagmohan",0
disclaimer.,0
the content is solely the responsibility of the authors and does not necessarily represent the of?cial view,0
"the panna network is supported by the european aids treatment network, the european commission, dg researc",0
"overall support for impaact was provided by the national institute of allergy and infectious diseases, nih",0
potential con?icts of interest.,0
all authors: no reported con?icts.,0
con?icts that the editors consider relevant to the content of the manuscript have been disclosed.,0
 600 correspondence to: zorica gruji? department of obstetrics and P_G clinical centre of vojvodina branim,0
